,Bat Name,Bat Price,Ratings
0,Trendy Cricket Bats,1620,3.9
1,Stylish Cricket Bats,444,3.5
2,Stylish Cricket Bats,356,3.6
3,Modern Cricket Bats,477,3.6
4,Fancy Cricket Bats,478,4.0
5,Elite Cricket Bats,480,3.8
6,Fashionable Cricket Bats,489,4.2
7,Attractive Cricket Bats,379,3.8
8,Fancy Cricket Bats,474,3.7
9,Fancy Cricket Bats,1174,3.9
10,Stylish Cricket Bats,849,3.5
11,Attractive Pilates Sets,599,
12,Attractive Cricket Bats,375,
13,New Cricket Bats,288,
14,Elite Cricket Bats,662,
15,New Cricket Bats,375,
16,Modern Cricket Bats,478,
17,New Cricket Bats,1745,
18,Modern Cricket Bats,483,
