,Bat Name,Bat Price,Ratings
0,New Cricket Bats,418,3.6
1,Fashionable Cricket Bats,512,3.7
2,Fashionable Cricket Bats,547,4.0
3,Fancy Cricket Bats,499,3.8
4,Modern Cricket Bats,541,4.5
5,Modern Cricket Bats,736,4.0
6,Classic Cricket Bats,537,3.5
7,classy Cricket Bats,488,3.8
8,Classic Cricket Bats,587,3.8
9,Classic Cricket Bats,543,4.0
10,New Cricket Bats,288,3.7
11,Attractive Cricket Bats,397,4.2
12,New Cricket Bats,594,4.1
13,New Cricket Bats,310,3.7
14,Elite Cricket Bats,636,3.7
15,Fashionable Cricket Bats,509,3.8
16,New Cricket Bats,508,
17,Modern Cricket Bats,477,
18,Modern Cricket Bats,1030,
19,New Cricket Bats,397,
